origem,destino,vezes_que_repetiu,ano
Pacheco,Cavalcante,6,
da Cunha,da Cruz,6,2022.0
Mendes,Moreira,6,2021.0
Brito,Rocha,6,2021.0
Mendes,Moura,6,2021.0
Freitas,Santos,6,
Silveira,Cavalcante,6,
Brito,Gomes,6,2021.0
Silveira,Pires,6,
Freitas,Rocha,6,
Pimenta,Novaes,6,2022.0
da Cunha,Sales,6,2022.0
da Paz,Alves,6,
Silveira,Siqueira,6,
Garcia,Cunha,6,
Freitas,Ribeiro,6,
Aragão,Fonseca,6,2021.0
Mendes,da Luz,6,2021.0
Garcia,Nascimento,6,
Pimenta,Marques,6,2022.0
Freitas,Fogaça,6,
da Cunha,Nunes,6,2022.0
Brito,Rezende,6,2021.0
Freitas,Melo,6,
Novaes,Pinto,6,
Aragão,Caldeira,6,2021.0
Ferreira,Oliveira,6,2021.0
Pinto,Nunes,6,2022.0
Ferreira,Novaes,6,2021.0
Sousa,Costela,6,2022.0
Caldeira,da Paz,6,
Ferreira,Mendes,6,2021.0
Ferreira,Melo,6,2021.0
Pacheco,Siqueira,6,
Ribeiro,Cavalcante,6,2022.0
Sousa,Garcia,6,2022.0
Ferreira,Lima,6,2021.0
da Cruz,das Neves,6,
Ferreira,Gonçalves,6,
Ferreira,Freitas,6,
Monteiro,Nunes,6,
Sousa,Lima,6,2022.0
Monteiro,Pacheco,6,
Ferreira,Costa,6,
Sousa,Macedo,6,2022.0
Novais,Sales,6,
Pacheco,Teixeira,6,
Sousa,Marques,6,2022.0
Albuquerque,Aparecida,6,2021.0
Pimenta,Barros,6,2022.0
Ferreira,Nunes,6,2021.0
Aparecida,Nascimento,6,
Silveira,da Rocha,6,
da Cunha,Alves,6,2022.0
Siqueira,da Luz,6,
Pimenta,Costa,6,2022.0
Aparecida,Rezende,6,
Novais,Silveira,6,
Monteiro,Costa,6,
Aparecida,Pires,6,
Ferreira,da Mota,6,2021.0
Aparecida,Pereira,6,
Monteiro,Ferreira,6,
Sousa,Aragão,6,2022.0
Ferreira,Vieira,6,2021.0
Ferreira,Vasconcelos,6,2021.0
da Paz,Leão,6,
Monteiro,Garcia,6,
Sousa,Barbosa,6,2022.0
Monteiro,Gonçalves,6,
Caldeira,Sá,6,
da Paz,Lima,6,
Ferreira,Rodrigues,6,2021.0
Monteiro,Leão,6,
Aparecida,Nogueira,6,
Ferreira,Pires,6,2021.0
Caldeira,da Costa,6,
da Rosa,das Neves,6,2022.0
Ferreira,Azevedo,6,
da Cruz,Vasconcelos,6,
Monteiro,Rocha,6,
Pereira,da Rocha,6,
Aparecida,Garcia,6,
Fernandes,Nogueira,6,
Fernandes,Nascimento,6,
Fernandes,Moura,6,
Sousa,da Conceição,6,2022.0
Sousa,da Costa,6,2022.0
Fernandes,Macedo,6,
Fernandes,Guerra,6,
Sousa,da Paz,6,2022.0
Fernandes,Fogaça,6,
Rezende,Sousa,6,2022.0
Fernandes,Costela,6,
Sousa,da Rocha,6,2022.0
Fernandes,Correia,6,
das Neves,Campos,6,2022.0
Camargo,Lopes,6,
Camargo,Macedo,6,
Montenegro,Costela,6,
da Paz,Oliveira,6,
Montenegro,Dias,6,
Fernandes,Caldeira,6,
Fernandes,Brito,6,
Pereira,da Rosa,6,
Fernandes,Pastor,6,
Montenegro,Andrade,6,
Fernandes,da Cruz,6,
da Paz,Melo,6,
das Neves,Aragão,6,2022.0
Pacheco,da Cruz,6,
Novais,Rodrigues,6,
Sousa,Peixoto,6,2022.0
Monteiro,Silveira,6,
Aparecida,Lima,6,
Monteiro,Souza,6,
Ribeiro,Azevedo,6,2022.0
Fernandes,da Luz,6,
Fernandes,da Costa,6,
Sousa,Siqueira,6,2022.0
Pacheco,da Mota,6,
Fernandes,Viana,6,
Fernandes,Teixeira,6,
Monteiro,da Conceição,6,
Monteiro,da Cunha,6,
das Neves,Brito,6,2022.0
Ribeiro,Aparecida,6,2022.0
Monteiro,da Mota,6,
Ribeiro,Albuquerque,6,2022.0
Peixoto,da Paz,6,
Caldeira,Rodrigues,6,
Caldeira,Rezende,6,
Caldeira,Ramos,6,
Almeida,Caldeira,6,2021.0
Fonseca,Lima,6,2021.0
Fonseca,Leão,6,2021.0
Pacheco,Montenegro,6,
Siqueira,Fernandes,6,
Caldeira,Azevedo,6,2021.0
Mendonça,Moraes,6,2021.0
Fonseca,Fonseca,6,2021.0
Siqueira,Fonseca,6,
Caldeira,Barbosa,6,2021.0
Fonseca,Farias,6,2021.0
Fonseca,Duarte,6,2021.0
Fonseca,Câmara,6,2021.0
da Paz,Camargo,6,
Siqueira,Garcia,6,
Siqueira,Gomes,6,
Caldeira,Borges,6,2021.0
Mendonça,Oliveira,6,2021.0
Albuquerque,Casa Grande,6,2021.0
Caldeira,Campos,6,
Mendonça,Pacheco,6,2021.0
Siqueira,Lopes,6,
da Paz,Cassiano,6,
Siqueira,Marques,6,
Fonseca,Macedo,6,2021.0
Mendonça,Montenegro,6,2021.0
Caldeira,Araújo,6,2021.0
Fonseca,Rezende,6,2021.0
Almeida,Borges,6,2021.0
Mendonça,Fogaça,6,2021.0
Pimenta,Gomes,6,2022.0
Ribeiro,Siqueira,6,2022.0
Fonseca,Vargas,6,2021.0
Fonseca,Teixeira,6,2021.0
Fonseca,Sousa,6,2021.0
Siqueira,Andrade,6,
Fonseca,Santos,6,2021.0
Siqueira,Aparecida,6,
Mendonça,Leão,6,2021.0
da Cunha,Guerra,6,2022.0
Fonseca,Pimenta,6,2021.0
Siqueira,Caldeira,6,
da Cunha,Machado,6,2022.0
Fonseca,Novais,6,2021.0
Ribeiro,Rodrigues,6,2022.0
da Cunha,Lopes,6,2022.0
Fonseca,Moraes,6,2021.0
Mendonça,Mendonça,6,2021.0
Mendonça,Monteiro,6,2021.0
Siqueira,Cirino,6,
Siqueira,Montenegro,6,
Brito,Araújo,6,2021.0
Aparecida,Ribeiro,6,
da Paz,Correia,6,
Fogaça,Jesus,6,2021.0
Ribeiro,Mendes,6,2022.0
Monteiro,Aparecida,6,
Fogaça,Garcia,6,2021.0
Fogaça,Freitas,6,2021.0
Monteiro,Aragão,6,
da Cunha,Campos,6,2022.0
Caldeira,Novais,6,
Albuquerque,Cardoso,6,2021.0
Caldeira,Nunes,6,
Siqueira,Sousa,6,
da Cunha,Caldeira,6,2022.0
Siqueira,Souza,6,
Siqueira,Teixeira,6,
Fogaça,Cavalcante,6,2021.0
Novais,Souza,6,
da Cunha,Brito,6,2022.0
Fogaça,Carvalho,6,2021.0
Fogaça,Cardoso,6,2021.0
Caldeira,Pinto,6,
Pacheco,Pastor,6,
Monteiro,Brito,6,
Ribeiro,Gonçalves,6,2022.0
da Cunha,Cardoso,6,2022.0
Ribeiro,Monteiro,6,2022.0
Fogaça,Lima,6,2021.0
da Paz,Costela,6,
Fogaça,da Luz,6,2021.0
Fogaça,da Cunha,6,2021.0
Mendonça,Sales,6,2021.0
Fogaça,da Conceição,6,2021.0
Siqueira,Novais,6,
Aparecida,Vieira,6,
Fogaça,Vargas,6,2021.0
Caldeira,Cirino,6,
Mendonça,Silva,6,2021.0
Fogaça,Silva,6,2021.0
Caldeira,Dias,6,
Pacheco,Oliveira,6,
da Paz,Dias,6,
Mendonça,Vargas,6,2021.0
da Cunha,Fernandes,6,2022.0
Mendonça,Vieira,6,2021.0
Caldeira,Fonseca,6,
Mendonça,da Cruz,6,2021.0
Caldeira,Gonçalves,6,
Siqueira,Porto,6,
Almeida,Casa Grande,6,2021.0
Fogaça,Mendonça,6,2021.0
Brito,Azevedo,6,2021.0
Borges,Mendes,6,2021.0
Garcia,da Costa,6,
Marques,Pires,6,
Rocha,Vasconcelos,6,
Marques,Lima,6,
Sales,Teixeira,6,2022.0
Lima,Rocha,6,
Rocha,Vargas,6,
Marques,Macedo,6,
Marques,Machado,6,
Marques,Marques,6,
Barbosa,Pastor,6,
Sales,da Costa,6,2022.0
Lima,Novais,6,
Sales,da Luz,6,2022.0
Lima,Montenegro,6,
da Mota,Barbosa,6,
Rocha,Silva,6,
Barbosa,Pinto,6,
Sampaio,Albuquerque,6,2022.0
Lima,Lopes,6,
Lima,Gomes,6,
Rocha,Porto,6,
Lima,Fonseca,6,
Marques,Pimenta,6,
Barbosa,Ramos,6,
Lima,Farias,6,
Sampaio,Barros,6,2022.0
Sales,Sousa,6,2022.0
Lima,Siqueira,6,
Lima,Teixeira,6,
Lopes,Azevedo,6,
Lopes,Cavalcanti,6,
Lopes,Cavalcante,6,
Lopes,Castro,6,
Rocha,da Rosa,6,
Sales,Moreira,6,2022.0
Marques,Cavalcanti,6,
Pinto,Barros,6,2022.0
Barbosa,Melo,6,
Lopes,Borges,6,
da Mota,Albuquerque,6,
Pinto,Costa,6,2022.0
da Mota,Andrade,6,
Barbosa,Nascimento,6,
Barbosa,Mendes,6,
Sales,Porto,6,2022.0
Lima,da Rosa,6,
Sales,Ribeiro,6,2022.0
Sales,Sampaio,6,2022.0
Albuquerque,Rocha,6,2021.0
Albuquerque,Rios,6,2021.0
Barbosa,Moura,6,
Lima,da Conceição,6,
Marques,Garcia,6,
da Mota,Azevedo,6,
Rocha,Pacheco,6,
da Mata,Lima,6,
Sales,Moraes,6,2022.0
Barbosa,Rios,6,
da Mata,Fernandes,6,
Leão,Novaes,6,
Sampaio,Leão,6,2022.0
Rocha,Macedo,6,
Barbosa,da Luz,6,
Leão,Leão,6,
Rocha,Leão,6,
Martins,Borges,6,
Sampaio,Moraes,6,2022.0
Pinto,Abreu,6,2022.0
Rocha,Guerra,6,
Sampaio,Nascimento,6,2022.0
Sampaio,Nogueira,6,2022.0
Barros,Alves,6,
Sampaio,Pastor,6,2022.0
Martins,Carvalho,6,
Nunes,Marques,6,2021.0
Leão,Cassiano,6,
Martins,Cavalcante,6,
Sampaio,Rocha,6,2022.0
Pimenta,da Paz,6,2022.0
Rocha,Fernandes,6,
Sampaio,Rodrigues,6,2022.0
Leão,Azevedo,6,
Leão,Araújo,6,
Marques,da Rosa,6,
Leão,Oliveira,6,
Rocha,Marques,6,
Lima,Alves,6,
Marques,Rezende,6,
Lima,Cavalcante,6,
Lima,Casa Grande,6,
Azevedo,Alves,6,
Marques,Santos,6,
Lima,Caldeira,6,
Lima,Brito,6,
Lima,Barbosa,6,
Lima,Azevedo,6,
Sampaio,Campos,6,2022.0
Sampaio,Cardoso,6,2022.0
Marques,Souza,6,
Sampaio,Gomes,6,2022.0
Sampaio,Cavalcanti,6,2022.0
Leão,das Neves,6,
Leão,da Rosa,6,
Rocha,Moraes,6,
Leão,da Costa,6,
Leão,Souza,6,
Marques,da Cunha,6,
Sampaio,Freitas,6,2022.0
Leão,Silva,6,
Leão,Sampaio,6,
Leão,Ramos,6,
Lopes,Cirino,6,
Lopes,Costa,6,
Leão,Alves,6,
Rodrigues,Castro,6,
Azevedo,da Conceição,6,
Rodrigues,Santos,6,
Macedo,Nascimento,6,2021.0
Macedo,Moura,6,2021.0
Rodrigues,Souza,6,
Macedo,Moraes,6,2021.0
Azevedo,Martins,6,
da Mata,da Cruz,6,
Macedo,Mendes,6,2021.0
Macedo,Machado,6,2021.0
Azevedo,Machado,6,
Macedo,Gomes,6,2021.0
Machado,Oliveira,6,2021.0
Albuquerque,Silva,6,2021.0
Macedo,Ferreira,6,2021.0
da Mata,da Cunha,6,
Rodrigues,Farias,6,
Azevedo,Lima,6,
Azevedo,Guerra,6,
Macedo,Correia,6,2021.0
Rodrigues,Costa,6,
da Mata,Novaes,6,
Albuquerque,Viana,6,2021.0
Machado,Sales,6,2021.0
Barbosa,Aragão,6,
da Mata,Rocha,6,
Rodrigues,Rocha,6,
da Mata,Vieira,6,
da Mata,Teixeira,6,
Machado,Borges,6,2021.0
Rodrigues,Melo,6,
Machado,Araújo,6,2021.0
Azevedo,Rios,6,
Rodrigues,Lopes,6,
Machado,Almeida,6,2021.0
Azevedo,Pimenta,6,
Rodrigues,Moraes,6,
Nunes,Souza,6,2021.0
Machado,Câmara,6,2021.0
Macedo,da Mota,6,2021.0
Macedo,da Cruz,6,2021.0
Azevedo,Vieira,6,
Machado,Farias,6,2021.0
Macedo,da Conceição,6,2021.0
Macedo,Vargas,6,2021.0
Machado,Fonseca,6,2021.0
Rodrigues,Guerra,6,
Rodrigues,Pereira,6,
Azevedo,Siqueira,6,
Rodrigues,Pimenta,6,
da Mata,Sales,6,
Azevedo,Vasconcelos,6,
da Mata,Rodrigues,6,
Nunes,Sampaio,6,2021.0
Machado,Siqueira,6,2021.0
Sales,Monteiro,6,2022.0
Macedo,Barros,6,2021.0
da Mata,da Paz,6,
Nunes,Ramos,6,2021.0
Marques,Aparecida,6,
Rodrigues,Alves,6,
Sales,Cirino,6,2022.0
Barbosa,Duarte,6,
Marques,Azevedo,6,
Lopes,Nascimento,6,
Barbosa,Ferreira,6,
Sales,Câmara,6,2022.0
Lopes,Melo,6,
Marques,Borges,6,
Azevedo,Farias,6,
Lopes,Leão,6,
Barbosa,Garcia,6,
Lopes,Jesus,6,
da Mata,das Neves,6,
Marques,Campos,6,
Sales,Fogaça,6,2022.0
Sales,Garcia,6,2022.0
Sales,Lima,6,2022.0
da Mata,Melo,6,
Sales,Martins,6,2022.0
Sales,Melo,6,2022.0
Marques,Cassiano,6,
Lopes,Pimenta,6,
Lopes,Pinto,6,
Barbosa,Cunha,6,
Rodrigues,Campos,6,
Macedo,Azevedo,6,2021.0
Barbosa,Barros,6,
Macedo,Aparecida,6,2021.0
Macedo,Alves,6,2021.0
Macedo,Albuquerque,6,2021.0
Machado,Vargas,6,2021.0
Sales,Aragão,6,
Lopes,da Rosa,6,2021.0
Nunes,Rodrigues,6,2021.0
Barbosa,Camargo,6,
Lopes,da Mota,6,2021.0
Nunes,Rocha,6,2021.0
Lopes,Ribeiro,6,
Barbosa,Cassiano,6,
Rodrigues,Caldeira,6,
Machado,da Luz,6,2021.0
Lopes,Vargas,6,
Lopes,Teixeira,6,
Barbosa,Cavalcanti,6,
Machado,da Paz,6,2021.0
Lopes,Siqueira,6,
Machado,da Rocha,6,2021.0
Barbosa,Costa,6,
Sales,Campos,6,2022.0
Oliveira,Cirino,6,2021.0
Barros,Cardoso,6,
Aragão,Ramos,6,2021.0
Gomes,Viana,6,
Silva,Casa Grande,6,
Gonçalves,Cunha,6,2021.0
Gonçalves,Costa,6,2021.0
Silva,Castro,6,
Gonçalves,Cavalcante,6,2021.0
Araújo,Almeida,6,2021.0
Gonçalves,Cassiano,6,2021.0
Silva,Cavalcanti,6,
da Luz,Fogaça,6,2022.0
Rios,Novaes,6,
Rios,Moraes,6,
da Luz,Ferreira,6,2022.0
Oliveira,Santos,6,2021.0
Albuquerque,Mendonça,6,2021.0
Gonçalves,Andrade,6,2021.0
Camargo,Mendes,6,
Rios,Montenegro,6,
Silva,Fogaça,6,
Melo,Siqueira,6,
Silva,Freitas,6,
Albuquerque,Mendes,6,2021.0
Aragão,das Neves,6,2021.0
Gomes,da Luz,6,
Borges,Moura,6,2021.0
Gomes,da Conceição,6,
Silva,Carvalho,6,
Borges,Gomes,6,2021.0
Nunes,Cavalcante,6,2021.0
da Mota,Moraes,6,
Rios,Ramos,6,
Rios,Porto,6,
Borges,Correia,6,2021.0
Araújo,Cardoso,6,2021.0
Gonçalves,Pires,6,2021.0
Santos,da Paz,6,
Santos,da Rocha,6,
Araújo,Brito,6,2021.0
Gonçalves,Nunes,6,2021.0
da Rosa,Fonseca,6,2022.0
Pimenta,Silveira,6,2022.0
Oliveira,Ribeiro,6,2021.0
Gonçalves,Fonseca,6,2021.0
Nunes,Cavalcanti,6,2021.0
Pimenta,Santos,6,2022.0
Rios,Pacheco,6,
Albuquerque,Moraes,6,2021.0
Melo,Pastor,6,
Silva,Borges,6,
Gonçalves,Jesus,6,2021.0
Silva,Brito,6,
da Luz,Macedo,6,2022.0
Gonçalves,Gomes,6,2021.0
Melo,Peixoto,6,
Aragão,da Rocha,6,2021.0
Aragão,da Paz,6,2021.0
Gonçalves,Rocha,6,2021.0
Gomes,Sá,6,
Borges,Sousa,6,2021.0
Gomes,Farias,6,
Borges,Teixeira,6,2021.0
Borges,Vargas,6,2021.0
Albuquerque,Machado,6,2021.0
Silva,Teixeira,6,
Gomes,Costela,6,
da Rosa,Santos,6,2022.0
da Luz,Caldeira,6,2022.0
Gomes,Casa Grande,6,
da Mota,Sales,6,
Borges,Vieira,6,2021.0
Aragão,Sampaio,6,2021.0
Mendes,Costela,6,2021.0
Borges,da Cunha,6,2021.0
Albuquerque,Lopes,6,2021.0
Gomes,Araújo,6,
Pacheco,Almeida,6,
Borges,da Luz,6,2021.0
Pacheco,Alves,6,
Mendes,Dias,6,2021.0
Rios,Cavalcanti,6,2022.0
Aragão,Rodrigues,6,2021.0
Albuquerque,Lima,6,2021.0
Nunes,Aragão,6,2021.0
Gomes,Fonseca,6,
Gomes,Garcia,6,
da Mota,Rios,6,
Gomes,Pacheco,6,
Melo,Vargas,6,
Rios,Mendes,6,
Gomes,Silveira,6,
Oliveira,Vargas,6,2021.0
Rios,Martins,6,
Gomes,Rios,6,
Gomes,Ribeiro,6,
Borges,Pimenta,6,2021.0
Borges,Pinto,6,2021.0
Nunes,Campos,6,2021.0
Rios,Jesus,6,
Silva,Moura,6,
Gomes,Gonçalves,6,
Nunes,Camargo,6,2021.0
Silva,Novais,6,
Silva,Oliveira,6,
Pinto,Machado,6,2022.0
da Rosa,Sales,6,2022.0
Mendes,Azevedo,6,2021.0
Almeida,Aragão,6,2021.0
Mendes,Caldeira,6,2021.0
Gomes,Lopes,6,
da Luz,Casa Grande,6,2022.0
da Mota,Rezende,6,
Gonçalves,Ribeiro,6,2021.0
Melo,Lima,6,
Oliveira,Correia,6,2021.0
Nunes,Fonseca,6,2021.0
Jesus,Fernandes,6,
Martins,Ribeiro,6,
Jesus,Costa,6,
Pimenta,da Costa,6,2022.0
Rocha,Cardoso,6,
Martins,Silva,6,
Rocha,Campos,6,
Oliveira,Lima,6,2021.0
Barros,Nascimento,6,
Santos,Costela,6,2022.0
Jesus,Caldeira,6,
Martins,Siqueira,6,
Jesus,Barros,6,
Pimenta,Vieira,6,2022.0
da Luz,Souza,6,2022.0
Jesus,Andrade,6,
Santos,Farias,6,2022.0
Pinto,Gonçalves,6,2022.0
Albuquerque,Pacheco,6,2021.0
Barros,Pereira,6,
Martins,Vieira,6,
Guerra,da Cunha,6,2021.0
Barros,Ramos,6,
da Luz,Silva,6,2022.0
Rocha,Azevedo,6,
Martins,Pires,6,
Barros,Macedo,6,
Jesus,Jesus,6,
Martins,Mendes,6,
Sampaio,Silveira,6,2022.0
Nunes,Macedo,6,2021.0
Jesus,da Mota,6,
da Rosa,Lopes,6,2022.0
da Mata,Aparecida,6,
Jesus,Vieira,6,
Jesus,Vargas,6,
Martins,Garcia,6,
Martins,Jesus,6,
Martins,Lopes,6,
Araújo,Souza,6,2021.0
Sampaio,da Mata,6,2022.0
Rocha,Castro,6,
Barros,Freitas,6,
Barros,Gomes,6,
Sampaio,da Paz,6,2022.0
Jesus,Pereira,6,
Santos,Andrade,6,2022.0
Jesus,Novaes,6,
da Luz,da Costa,6,2022.0
Oliveira,Gonçalves,6,2021.0
Barros,Lima,6,
Martins,Nunes,6,
Jesus,Marques,6,
Santos,Macedo,6,2022.0
Guerra,Sousa,6,2021.0
da Mota,Melo,6,
Guerra,Siqueira,6,2021.0
Guerra,Cassiano,6,2021.0
Melo,Correia,6,
Santos,Rios,6,
Araújo,Fernandes,6,2021.0
Guerra,Brito,6,2021.0
Guerra,Barros,6,2021.0
da Luz,Pereira,6,2022.0
Araújo,Farias,6,2021.0
Guerra,Aragão,6,2021.0
Santos,Santos,6,
Guerra,Albuquerque,6,2021.0
Borges,Andrade,6,2021.0
da Mota,Machado,6,
Oliveira,Peixoto,6,2021.0
da Mota,Martins,6,
da Rosa,Rios,6,2022.0
da Luz,Pacheco,6,2022.0
Gonçalves,da Costa,6,2021.0
Araújo,Correia,6,2021.0
Gonçalves,Sá,6,2021.0
Gonçalves,Souza,6,2021.0
Rios,Rios,6,
Gonçalves,Silva,6,2021.0
Rios,Ribeiro,6,
Borges,Castro,6,2021.0
da Mota,Macedo,6,
da Mota,Leão,6,
Rios,da Costa,6,
Melo,Aragão,6,
Guerra,Silveira,6,2021.0
Oliveira,Mendonça,6,2021.0
Barros,Rodrigues,6,
Santos,Marques,6,2022.0
Guerra,Rodrigues,6,2021.0
Martins,da Rosa,6,
Guerra,Pires,6,2021.0
Araújo,Monteiro,6,2021.0
Barros,Souza,6,
Guerra,Moraes,6,2021.0
Melo,Aparecida,6,
Guerra,Mendes,6,2021.0
da Rosa,Ramos,6,2022.0
Albuquerque,Nogueira,6,2021.0
Melo,Barbosa,6,
da Mota,Garcia,6,
Oliveira,Nogueira,6,2021.0
da Rosa,Garcia,6,2022.0
Barros,da Conceição,6,
Barros,da Costa,6,
Santos,Pereira,6,
da Luz,Ribeiro,6,2022.0
Almeida,Albuquerque,6,2021.0
Santos,Pimenta,6,
Camargo,Martins,6,
Machado,Caldeira,6,2021.0
Peixoto,Aparecida,6,
Peixoto,Novais,6,
Moreira,da Costa,6,2021.0
Abreu,Carvalho,6,2021.0
Moreira,da Cunha,6,2021.0
Cunha,Cassiano,6,
Moreira,da Luz,6,2021.0
Cavalcanti,Nogueira,6,2021.0
Viana,Caldeira,6,2022.0
Teixeira,Rocha,6,
Moreira,da Paz,6,2021.0
Pires,Sá,6,
Moura,Alves,6,2021.0
Cardoso,Teixeira,6,
Ramos,Dias,6,
Casa Grande,da Rocha,6,2021.0
Cunha,Aragão,6,
Novais,Carvalho,6,
da Rocha,Macedo,6,
Ramos,Correia,6,
da Costa,Barbosa,6,
Teixeira,Souza,6,
Moreira,da Conceição,6,2021.0
Cunha,Cunha,6,
Pires,Barros,6,
Andrade,Cardoso,6,
Moreira,Rodrigues,6,
Cunha,Montenegro,6,
Nogueira,Moraes,6,
Abreu,Nogueira,6,2021.0
Moreira,Santos,6,
Ramos,Gomes,6,
Moreira,Silveira,6,
Nogueira,Montenegro,6,
Cardoso,Pinto,6,
Abreu,Nascimento,6,2021.0
Pires,Ribeiro,6,
Cunha,Jesus,6,
das Neves,Vargas,6,2022.0
Andrade,Carvalho,6,
Cunha,Freitas,6,
Cunha,Fogaça,6,
da Costa,Campos,6,
Teixeira,Pacheco,6,
Teixeira,Pastor,6,
Moura,Almeida,6,2021.0
das Neves,Nogueira,6,2022.0
Nogueira,Moura,6,
Costela,Oliveira,6,
Carvalho,Borges,6,2021.0
Vieira,Vieira,6,2022.0
Vargas,Aragão,6,
Ramos,Barbosa,6,
Novais,Barros,6,
Costela,Peixoto,6,
da Costa,Almeida,6,
Vargas,Borges,6,
Cavalcanti,Vasconcelos,6,2021.0
Carvalho,Campos,6,2021.0
Cavalcanti,Peixoto,6,2021.0
Ramos,Aparecida,6,
Vieira,da Conceição,6,2022.0
Costela,Moura,6,
Casa Grande,Viana,6,2021.0
Ramos,Alves,6,
Ramos,Albuquerque,6,
Costela,Mendes,6,
Andrade,Almeida,6,
Costela,Macedo,6,
Cavalcanti,Sá,6,2021.0
Cavalcanti,Souza,6,2021.0
Viana,Albuquerque,6,2022.0
Carvalho,Andrade,6,2021.0
Viana,Barros,6,2022.0
Cavalcanti,Pimenta,6,2021.0
Teixeira,Vasconcelos,6,
Teixeira,Vieira,6,
Viana,Barbosa,6,2022.0
Pinto,da Conceição,6,2022.0
Cardoso,da Mata,6,
da Costa,Araújo,6,
Novais,Camargo,6,
Cavalcanti,Ribeiro,6,2021.0
Costela,Sá,6,
Moura,Carvalho,6,2021.0
Viana,Araújo,6,2022.0
Andrade,Aparecida,6,
Alves,Cunha,6,
Casa Grande,da Mata,6,2021.0
Pires,da Cruz,6,
Moura,Cavalcanti,6,2021.0
Nogueira,Farias,6,
da Costa,Duarte,6,
Cavalcanti,Leão,6,2021.0
Nogueira,da Cunha,6,
Cavalcanti,Aparecida,6,
Câmara,Gonçalves,6,2021.0
Teixeira,Barros,6,
Cassiano,Cavalcante,6,
Teixeira,Brito,6,
Teixeira,Campos,6,
Teixeira,Cardoso,6,
Cavalcanti,Andrade,6,
Pastor,Sales,6,
Teixeira,Casa Grande,6,
Ramos,Peixoto,6,
Câmara,Brito,6,2021.0
Abreu,Pacheco,6,2021.0
Cassiano,Castro,6,
Cardoso,Garcia,6,
Moreira,Freitas,6,
Teixeira,Castro,6,
Nogueira,Rios,6,
Câmara,Cardoso,6,2021.0
Moreira,Gomes,6,
Moreira,Jesus,6,
Andrade,Garcia,6,
Cardoso,Dias,6,
Teixeira,Araújo,6,
Câmara,Lopes,6,2021.0
Pires,Nogueira,6,
Novais,Fernandes,6,
Câmara,Pacheco,6,2021.0
Câmara,Oliveira,6,2021.0
Sá,da Rocha,6,
Moreira,Carvalho,6,
da Costa,Nunes,6,
Almeida,Martins,6,
Pires,Novaes,6,
Câmara,Moura,6,2021.0
Cavalcante,da Mata,6,
Teixeira,Abreu,6,
da Costa,Novais,6,
Pereira,Aparecida,6,
Nogueira,Siqueira,6,
Vieira,Sampaio,6,2022.0
Almeida,Mendes,6,
Pereira,Novais,6,
Nogueira,Silveira,6,
Alves,Novaes,6,
Peixoto,Ramos,6,
da Costa,Farias,6,
Nogueira,Oliveira,6,
da Rocha,Ferreira,6,
Cunha,Sá,6,
Cunha,Souza,6,
Nogueira,Peixoto,6,
Viana,Câmara,6,2022.0
Moreira,Pastor,6,
da Costa,Jesus,6,
Cunha,Sampaio,6,
Nogueira,Pastor,6,
da Costa,Garcia,6,
Cardoso,Leão,6,
Teixeira,Martins,6,
Cunha,Porto,6,
Vieira,Siqueira,6,2022.0
Pires,Ramos,6,
Nogueira,Novais,6,
Cunha,Pereira,6,
Cavalcanti,Garcia,6,2021.0
Cavalcanti,Gonçalves,6,2021.0
Pereira,Monteiro,6,
Andrade,Costa,6,
Teixeira,Gonçalves,6,
Andrade,Dias,6,
Moreira,Moura,6,
Cardoso,Lopes,6,
Pastor,Sá,6,
Cassiano,Camargo,6,
Câmara,Andrade,6,2021.0
Teixeira,Duarte,6,
Viana,Farias,6,2022.0
Câmara,Almeida,6,2021.0
Cardoso,Martins,6,
Viana,Duarte,6,2022.0
Teixeira,Farias,6,
Teixeira,Fernandes,6,
Ramos,Moreira,6,
Nogueira,Pires,6,
Cardoso,Mendes,6,
Cunha,da Cunha,6,
Andrade,Duarte,6,
Cassiano,Barbosa,6,
Cavalcanti,Costa,6,2021.0
Nogueira,Pimenta,6,
da Rocha,Moraes,6,
Costela,Jesus,6,
da Conceição,da Mata,6,
Nascimento,Garcia,6,2021.0
Cirino,Mendes,6,2021.0
Peixoto,Costa,6,
Vasconcelos,Ramos,6,2022.0
Nascimento,Farias,6,2021.0
Correia,Rezende,6,
Correia,Porto,6,
Pereira,Câmara,6,
Nascimento,Fogaça,6,2021.0
Peixoto,Duarte,6,
Nascimento,Gomes,6,2021.0
Vasconcelos,Andrade,6,
Porto,Monteiro,6,
Pereira,Cassiano,6,
Nascimento,Leão,6,2021.0
Correia,Novais,6,2021.0
Cirino,Novaes,6,2021.0
Nascimento,da Mota,6,2021.0
Pinto,da Rosa,6,2022.0
Vasconcelos,Almeida,6,
Abreu,Farias,6,2021.0
Correia,Silveira,6,
Porto,Nogueira,6,
Cirino,Marques,6,2021.0
Porto,Borges,6,
Carvalho,Siqueira,6,2021.0
Porto,Pastor,6,
Alves,Lopes,6,
Nogueira,Aragão,6,
Alves,Sousa,6,
Costa,Alves,6,
Pereira,Casa Grande,6,
Costa,Almeida,6,
Vargas,Vargas,6,
Carvalho,Vargas,6,2021.0
Correia,da Rocha,6,
da Conceição,Barbosa,6,
Nascimento,Cavalcante,6,2021.0
Nascimento,Cirino,6,2021.0
Vargas,da Costa,6,
Vargas,da Cunha,6,
