valor_transacao,data,hora,tipo_transacao,origem,destino
"R$ 98,992.02",dez_2023,2,empresarial,Macapá,Teresina
"R$ 35,184.89",jan_2023,21,empresarial,Macapá,Recife
"R$ 6,991.75",jun_2023,8,pessoal,Teresina,Florianópolis
"R$ 75,915.34",jun_2023,15,empresarial,Natal,Teresina
"R$ 60,337.01",jan_2023,18,empresarial,Palmas,Curitiba
"R$ 11,789.85",jul_2023,19,pessoal,Brasília,Porto Alegre
"R$ 14,380.95",mai_2023,8,pessoal,Brasília,Rio de Janeiro
"R$ 49,378.17",set_2023,14,empresarial,Porto Alegre,Florianópolis
"R$ 19,934.62",abr_2023,14,pessoal,São Luís,Salvador
R$ 864.74,nov_2023,12,pessoal,João Pessoa,Vitória
"R$ 6,556.54",nov_2023,2,pessoal,Brasília,Goiânia
"R$ 64,119.58",abr_2023,22,empresarial,João Pessoa,Porto Velho
"R$ 92,907.07",mar_2023,17,empresarial,Cuiabá,São Paulo
"R$ 7,494.77",nov_2023,19,pessoal,Rio de Janeiro,Vitória
"R$ 11,408.54",out_2023,2,pessoal,Rio de Janeiro,Goiânia
"R$ 87,311.50",nov_2023,23,empresarial,Fortaleza,Palmas
"R$ 2,331.63",set_2023,20,pessoal,Salvador,Cuiabá
"R$ 47,932.64",ago_2023,10,empresarial,Cuiabá,Brasília
"R$ 91,798.87",nov_2023,5,empresarial,Fortaleza,Maceió
"R$ 1,014.07",jan_2023,17,pessoal,Brasília,Palmas
"R$ 6,493.22",jun_2023,11,pessoal,Curitiba,Natal
"R$ 9,105.77",ago_2023,22,pessoal,Florianópolis,Palmas
"R$ 8,253.51",mai_2023,14,pessoal,Cuiabá,Fortaleza
"R$ 52,571.07",jan_2023,10,empresarial,Macapá,Recife
R$ 100.69,out_2023,9,pessoal,Cuiabá,Maceió
"R$ 7,561.94",jan_2023,13,pessoal,João Pessoa,Florianópolis
"R$ 12,887.73",nov_2023,8,pessoal,São Luís,São Paulo
"R$ 2,611.34",mar_2023,18,pessoal,Brasília,Belo Horizonte
"R$ 16,754.58",dez_2023,22,pessoal,Recife,Belo Horizonte
"R$ 7,393.09",nov_2023,17,pessoal,Rio de Janeiro,Campo Grande
"R$ 9,319.89",mai_2023,13,empresarial,Macapá,Aracaju
"R$ 4,358.93",fev_2023,11,empresarial,Salvador,Florianópolis
"R$ 9,414.13",dez_2023,19,pessoal,Boa Vista,Palmas
"R$ 46,888.21",abr_2023,3,empresarial,Curitiba,Fortaleza
"R$ 56,621.80",fev_2023,8,empresarial,Natal,Teresina
"R$ 4,535.19",set_2023,21,pessoal,Boa Vista,Rio de Janeiro
"R$ 76,075.57",mai_2023,12,empresarial,Curitiba,Macapá
"R$ 17,395.78",mai_2023,21,pessoal,João Pessoa,Campo Grande
"R$ 5,259.14",jul_2023,14,pessoal,São Paulo,Curitiba
"R$ 8,517.08",abr_2023,13,pessoal,Cuiabá,São Paulo
"R$ 95,184.89",ago_2023,5,empresarial,Boa Vista,Natal
"R$ 94,661.76",abr_2023,0,empresarial,Belém,São Luís
"R$ 46,068.83",mai_2023,23,empresarial,Campo Grande,Palmas
"R$ 89,129.70",nov_2023,6,empresarial,Goiânia,Aracaju
"R$ 9,362.95",ago_2023,8,pessoal,Rio de Janeiro,Brasília
"R$ 13,343.79",set_2023,18,pessoal,Manaus,Belém
"R$ 10,576.35",jun_2023,10,pessoal,Porto Velho,Salvador
"R$ 9,619.54",set_2023,1,pessoal,Macapá,Porto Velho
"R$ 67,311.51",mar_2023,13,empresarial,Salvador,Belo Horizonte
"R$ 5,898.16",ago_2023,8,pessoal,São Luís,Aracaju
"R$ 7,560.41",ago_2023,3,pessoal,Natal,Porto Velho
"R$ 10,064.30",mar_2023,3,pessoal,Belém,Porto Velho
"R$ 7,327.62",ago_2023,5,pessoal,Teresina,Palmas
"R$ 19,590.67",abr_2023,0,pessoal,Boa Vista,Cuiabá
"R$ 57,196.39",out_2023,17,empresarial,Rio Branco,Maceió
"R$ 11,504.82",mai_2023,17,empresarial,Palmas,Porto Velho
"R$ 57,253.38",mai_2023,18,empresarial,Teresina,Campo Grande
"R$ 6,424.49",dez_2023,1,pessoal,Palmas,Vitória
"R$ 7,220.69",abr_2023,2,empresarial,Brasília,Maceió
"R$ 7,301.48",dez_2023,8,pessoal,Curitiba,Aracaju
"R$ 1,961.23",jan_2023,13,pessoal,Fortaleza,Salvador
"R$ 51,980.24",abr_2023,1,empresarial,Rio Branco,Palmas
"R$ 11,223.82",out_2023,7,pessoal,Teresina,Goiânia
"R$ 59,534.82",abr_2023,14,empresarial,Rio Branco,Rio de Janeiro
"R$ 25,808.70",ago_2023,8,empresarial,Salvador,Belo Horizonte
"R$ 11,239.37",set_2023,18,pessoal,Cuiabá,Rio de Janeiro
"R$ 46,558.02",jul_2023,11,empresarial,Rio de Janeiro,Belo Horizonte
"R$ 10,008.09",jul_2023,11,pessoal,Porto Velho,Maceió
"R$ 1,868.51",mai_2023,18,pessoal,São Paulo,Fortaleza
"R$ 18,575.62",mar_2023,7,pessoal,Natal,Belém
"R$ 7,067.42",abr_2023,5,empresarial,Porto Alegre,Teresina
"R$ 3,224.59",jun_2023,0,pessoal,Rio de Janeiro,Maceió
"R$ 53,413.74",abr_2023,6,empresarial,Manaus,Recife
"R$ 8,625.24",dez_2023,13,empresarial,Brasília,Recife
"R$ 9,631.22",mai_2023,18,empresarial,Curitiba,Aracaju
"R$ 94,283.90",abr_2023,22,empresarial,Porto Velho,Goiânia
R$ 51.49,abr_2023,9,pessoal,Belém,Belo Horizonte
"R$ 91,459.25",mai_2023,17,empresarial,Porto Velho,Aracaju
R$ 310.68,mai_2023,9,pessoal,Palmas,Rio Branco
"R$ 57,396.99",abr_2023,17,empresarial,Vitória,Goiânia
"R$ 6,911.16",ago_2023,8,pessoal,Teresina,Maceió
"R$ 17,750.66",out_2023,3,pessoal,Belo Horizonte,Recife
"R$ 90,809.38",abr_2023,17,empresarial,Rio Branco,Goiânia
"R$ 6,981.39",ago_2023,10,pessoal,Porto Velho,Florianópolis
"R$ 19,513.56",dez_2023,22,pessoal,Curitiba,Natal
"R$ 2,734.79",out_2023,10,pessoal,Florianópolis,Fortaleza
"R$ 19,904.16",mar_2023,16,empresarial,Rio Branco,Fortaleza
"R$ 18,463.94",fev_2023,20,pessoal,Teresina,Belém
"R$ 64,516.32",jul_2023,23,empresarial,Recife,Fortaleza
"R$ 77,094.45",mai_2023,3,empresarial,Porto Velho,Manaus
"R$ 18,636.16",ago_2023,7,pessoal,Porto Velho,Goiânia
"R$ 18,854.32",abr_2023,9,pessoal,Porto Alegre,São Luís
"R$ 12,161.24",jan_2023,13,pessoal,Natal,Belo Horizonte
"R$ 16,923.27",jul_2023,13,pessoal,São Paulo,Brasília
"R$ 15,880.06",mar_2023,13,empresarial,Salvador,Florianópolis
"R$ 73,074.08",fev_2023,9,empresarial,Rio de Janeiro,Florianópolis
"R$ 1,098.04",jan_2023,23,empresarial,Florianópolis,Fortaleza
"R$ 9,195.04",ago_2023,14,pessoal,Palmas,Boa Vista
"R$ 17,117.01",fev_2023,7,pessoal,Salvador,Manaus
"R$ 2,848.22",set_2023,3,pessoal,Goiânia,Florianópolis
"R$ 18,401.10",abr_2023,11,pessoal,Goiânia,Porto Alegre
"R$ 28,015.71",set_2023,6,empresarial,Belém,Goiânia
"R$ 11,173.21",jan_2023,13,pessoal,Curitiba,Goiânia
"R$ 8,516.98",dez_2023,18,empresarial,São Luís,Fortaleza
"R$ 2,307.19",set_2023,12,pessoal,Porto Velho,João Pessoa
"R$ 93,835.26",jul_2023,21,empresarial,Brasília,Boa Vista
"R$ 23,533.33",jun_2023,1,empresarial,Boa Vista,Curitiba
"R$ 63,865.70",set_2023,17,empresarial,Florianópolis,Macapá
"R$ 82,209.88",abr_2023,8,empresarial,Vitória,São Luís
R$ 512.46,fev_2023,19,pessoal,Salvador,Vitória
"R$ 15,318.60",set_2023,23,pessoal,São Paulo,Palmas
"R$ 59,821.71",dez_2023,1,empresarial,Salvador,Campo Grande
"R$ 55,027.66",nov_2023,16,empresarial,Recife,Aracaju
"R$ 59,481.17",set_2023,0,empresarial,Porto Velho,Recife
"R$ 13,751.92",mai_2023,15,empresarial,Fortaleza,Boa Vista
"R$ 5,635.52",ago_2023,17,pessoal,Brasília,Belém
"R$ 26,132.04",jul_2023,1,empresarial,Vitória,Palmas
"R$ 31,626.88",jun_2023,8,empresarial,Goiânia,Florianópolis
"R$ 44,586.29",jun_2023,16,empresarial,Belo Horizonte,Boa Vista
"R$ 69,396.34",dez_2023,6,empresarial,Porto Alegre,Belo Horizonte
"R$ 67,512.46",jul_2023,8,empresarial,Campo Grande,Porto Alegre
"R$ 75,711.33",fev_2023,14,empresarial,Salvador,João Pessoa
"R$ 1,185.27",fev_2023,18,pessoal,João Pessoa,Manaus
"R$ 6,069.11",set_2023,17,pessoal,João Pessoa,Brasília
"R$ 77,287.83",ago_2023,17,empresarial,Cuiabá,Vitória
"R$ 72,226.51",set_2023,10,empresarial,Macapá,Salvador
"R$ 51,213.79",ago_2023,14,empresarial,Teresina,Belo Horizonte
"R$ 42,376.81",set_2023,17,empresarial,Campo Grande,Brasília
"R$ 1,093.92",dez_2023,0,pessoal,Teresina,Manaus
"R$ 9,425.91",jul_2023,21,pessoal,Rio Branco,Belém
"R$ 62,932.11",jan_2023,11,empresarial,Rio Branco,Fortaleza
"R$ 3,293.51",mar_2023,2,empresarial,Maceió,Vitória
"R$ 71,307.58",out_2023,23,empresarial,Natal,Rio de Janeiro
"R$ 4,156.54",ago_2023,20,pessoal,Fortaleza,Brasília
"R$ 51,326.11",jun_2023,5,empresarial,Natal,Rio Branco
"R$ 19,048.06",mar_2023,18,pessoal,Belém,Recife
"R$ 15,338.31",mar_2023,22,pessoal,Curitiba,Brasília
"R$ 10,215.40",jun_2023,13,pessoal,Boa Vista,Rio Branco
"R$ 82,926.87",mai_2023,11,empresarial,Belém,Teresina
"R$ 30,998.58",jan_2023,19,empresarial,Cuiabá,Macapá
"R$ 12,406.76",jun_2023,12,pessoal,Natal,Manaus
"R$ 18,562.87",jan_2023,19,pessoal,Rio de Janeiro,João Pessoa
"R$ 1,091.05",abr_2023,6,pessoal,Cuiabá,Goiânia
"R$ 7,654.74",abr_2023,3,pessoal,Goiânia,Belo Horizonte
"R$ 18,891.45",abr_2023,7,pessoal,Curitiba,Manaus
"R$ 71,437.75",out_2023,0,empresarial,Curitiba,Campo Grande
"R$ 57,556.66",fev_2023,4,empresarial,Aracaju,Florianópolis
"R$ 93,985.38",ago_2023,4,empresarial,Salvador,Rio de Janeiro
"R$ 19,433.95",jan_2023,21,pessoal,Porto Alegre,São Paulo
"R$ 68,458.58",fev_2023,11,empresarial,Rio de Janeiro,São Luís
"R$ 8,973.37",fev_2023,3,empresarial,Rio de Janeiro,Porto Velho
"R$ 58,172.18",out_2023,21,empresarial,Campo Grande,João Pessoa
"R$ 2,173.10",abr_2023,15,empresarial,Palmas,Rio Branco
"R$ 9,142.09",jan_2023,17,pessoal,Cuiabá,Fortaleza
"R$ 13,238.50",set_2023,3,empresarial,Palmas,Rio de Janeiro
"R$ 14,415.34",fev_2023,18,pessoal,João Pessoa,Salvador
"R$ 15,125.37",ago_2023,14,pessoal,Campo Grande,Porto Alegre
"R$ 6,151.49",ago_2023,4,pessoal,Macapá,Rio Branco
"R$ 16,589.59",jun_2023,19,empresarial,Florianópolis,João Pessoa
"R$ 38,439.23",dez_2023,10,empresarial,Porto Alegre,Florianópolis
"R$ 7,652.88",fev_2023,17,empresarial,Salvador,Goiânia
"R$ 17,694.41",set_2023,20,pessoal,Rio Branco,Porto Velho
"R$ 72,530.32",abr_2023,17,empresarial,Natal,Campo Grande
"R$ 18,187.35",jul_2023,17,pessoal,Salvador,Porto Alegre
"R$ 42,211.55",nov_2023,4,empresarial,João Pessoa,São Paulo
"R$ 8,780.37",jan_2023,19,empresarial,Salvador,Manaus
"R$ 8,849.89",jan_2023,19,pessoal,Goiânia,Vitória
"R$ 81,968.46",jul_2023,18,empresarial,Florianópolis,Brasília
"R$ 1,687.81",jul_2023,17,pessoal,Natal,Fortaleza
R$ 889.98,nov_2023,10,pessoal,Boa Vista,Porto Alegre
R$ 57.53,dez_2023,0,pessoal,Teresina,Aracaju
"R$ 16,824.36",dez_2023,11,pessoal,Rio Branco,Natal
"R$ 16,897.43",set_2023,8,pessoal,Cuiabá,Manaus
"R$ 17,747.64",ago_2023,2,pessoal,Florianópolis,Palmas
"R$ 7,302.12",dez_2023,1,pessoal,João Pessoa,Aracaju
"R$ 32,067.05",jun_2023,13,empresarial,Maceió,Goiânia
"R$ 14,300.84",jul_2023,6,pessoal,Teresina,São Paulo
"R$ 3,592.01",fev_2023,22,pessoal,Porto Velho,Cuiabá
"R$ 48,061.31",jun_2023,8,empresarial,Brasília,Boa Vista
"R$ 98,908.25",jan_2023,12,empresarial,Manaus,Rio de Janeiro
R$ 731.38,nov_2023,19,pessoal,Boa Vista,Cuiabá
"R$ 20,249.02",abr_2023,6,empresarial,Manaus,Teresina
"R$ 98,529.04",fev_2023,4,empresarial,Salvador,Boa Vista
"R$ 12,211.44",dez_2023,6,pessoal,Curitiba,Vitória
"R$ 29,700.14",jun_2023,0,empresarial,Rio Branco,Natal
"R$ 5,144.95",jul_2023,0,pessoal,Campo Grande,Curitiba
R$ 171.01,mai_2023,16,pessoal,Vitória,Aracaju
"R$ 17,632.11",ago_2023,16,pessoal,Rio de Janeiro,Boa Vista
"R$ 14,054.40",fev_2023,20,pessoal,Salvador,Campo Grande
"R$ 18,110.57",ago_2023,19,empresarial,São Paulo,Belo Horizonte
"R$ 35,273.29",mai_2023,10,empresarial,Rio de Janeiro,Belo Horizonte
"R$ 37,314.35",out_2023,23,empresarial,Rio Branco,Maceió
"R$ 19,389.54",jun_2023,12,pessoal,Cuiabá,São Luís
"R$ 7,157.45",jun_2023,8,pessoal,Belo Horizonte,Aracaju
"R$ 75,416.79",ago_2023,19,empresarial,Vitória,Natal
"R$ 8,846.21",set_2023,8,empresarial,Vitória,Belo Horizonte
R$ 697.27,set_2023,22,pessoal,São Paulo,Macapá
"R$ 10,110.23",out_2023,10,pessoal,São Luís,Belo Horizonte
"R$ 42,509.55",dez_2023,16,empresarial,Natal,São Luís
"R$ 5,044.86",dez_2023,1,pessoal,Boa Vista,Manaus
"R$ 11,889.91",abr_2023,3,pessoal,Recife,Teresina
"R$ 60,680.68",mai_2023,12,empresarial,Belém,Cuiabá
"R$ 3,478.27",fev_2023,3,pessoal,João Pessoa,Rio de Janeiro
"R$ 3,747.45",jan_2023,6,pessoal,Teresina,Vitória
"R$ 5,636.97",jun_2023,22,pessoal,Recife,São Luís
"R$ 14,400.19",fev_2023,13,pessoal,Rio de Janeiro,Cuiabá
"R$ 15,118.98",mar_2023,14,pessoal,Florianópolis,Aracaju
"R$ 5,113.06",dez_2023,15,pessoal,Brasília,Campo Grande
"R$ 85,927.01",fev_2023,8,empresarial,Salvador,Porto Velho
"R$ 13,762.07",jun_2023,2,pessoal,Boa Vista,Maceió
"R$ 15,771.46",abr_2023,8,pessoal,Vitória,Boa Vista
"R$ 1,843.46",jul_2023,5,pessoal,Belém,Aracaju
"R$ 2,025.23",mar_2023,18,pessoal,Brasília,Aracaju
"R$ 1,527.04",dez_2023,20,pessoal,Rio de Janeiro,Rio Branco
"R$ 11,263.55",jul_2023,10,pessoal,Goiânia,Boa Vista
"R$ 40,256.68",fev_2023,3,empresarial,Rio de Janeiro,Aracaju
"R$ 9,437.63",dez_2023,4,empresarial,Macapá,Manaus
"R$ 99,136.20",ago_2023,3,empresarial,Belém,Macapá
"R$ 6,060.97",dez_2023,23,empresarial,Macapá,Natal
"R$ 13,065.32",dez_2023,6,empresarial,Maceió,Vitória
"R$ 8,058.47",jan_2023,17,empresarial,Rio de Janeiro,Goiânia
"R$ 45,358.44",abr_2023,18,empresarial,Manaus,Florianópolis
"R$ 6,886.90",set_2023,15,empresarial,Fortaleza,Recife
"R$ 15,903.49",abr_2023,20,pessoal,Fortaleza,Rio Branco
"R$ 4,402.06",dez_2023,21,pessoal,São Luís,Salvador
"R$ 10,119.02",abr_2023,20,pessoal,Belo Horizonte,Porto Velho
"R$ 91,931.18",nov_2023,14,empresarial,Florianópolis,Belo Horizonte
"R$ 74,446.89",mai_2023,8,empresarial,João Pessoa,Belo Horizonte
R$ 613.01,mar_2023,14,pessoal,Manaus,João Pessoa
"R$ 59,747.64",fev_2023,21,empresarial,Salvador,São Luís
"R$ 32,168.19",jan_2023,20,empresarial,Belo Horizonte,Natal
"R$ 2,129.01",ago_2023,21,pessoal,Campo Grande,Rio Branco
"R$ 2,495.91",mai_2023,21,pessoal,São Luís,Belo Horizonte
"R$ 39,767.39",ago_2023,3,empresarial,Campo Grande,Boa Vista
"R$ 59,683.92",out_2023,5,empresarial,Vitória,Salvador
"R$ 17,736.11",abr_2023,19,pessoal,Campo Grande,Porto Alegre
"R$ 9,066.54",ago_2023,17,pessoal,Belém,Maceió
"R$ 11,703.74",dez_2023,4,empresarial,Palmas,Rio Branco
"R$ 27,364.64",abr_2023,12,empresarial,Fortaleza,Recife
"R$ 7,325.52",ago_2023,19,pessoal,Vitória,Boa Vista
"R$ 5,201.51",nov_2023,2,pessoal,João Pessoa,Natal
"R$ 19,546.68",mar_2023,15,pessoal,Manaus,Belo Horizonte
"R$ 48,963.72",nov_2023,6,empresarial,Rio Branco,João Pessoa
"R$ 3,931.34",jun_2023,13,pessoal,Natal,Vitória
"R$ 1,284.09",nov_2023,7,empresarial,Boa Vista,Cuiabá
"R$ 58,207.68",fev_2023,18,empresarial,Salvador,Porto Alegre
"R$ 99,440.97",nov_2023,2,empresarial,Teresina,Manaus
"R$ 18,918.40",dez_2023,8,pessoal,Cuiabá,Salvador
"R$ 19,058.07",fev_2023,22,pessoal,Palmas,Porto Velho
"R$ 7,087.90",ago_2023,11,pessoal,Florianópolis,Goiânia
"R$ 46,944.41",mar_2023,19,empresarial,Rio de Janeiro,Boa Vista
"R$ 19,641.33",mai_2023,7,pessoal,Florianópolis,São Luís
"R$ 15,998.49",set_2023,11,pessoal,Manaus,Recife
R$ 541.98,jun_2023,12,pessoal,Goiânia,João Pessoa
"R$ 63,203.71",mai_2023,1,empresarial,Rio de Janeiro,Fortaleza
"R$ 10,677.56",abr_2023,14,pessoal,Vitória,Aracaju
"R$ 5,070.36",nov_2023,9,empresarial,Campo Grande,Brasília
"R$ 7,382.10",jun_2023,3,pessoal,Goiânia,Porto Velho
"R$ 2,579.82",jul_2023,6,pessoal,Macapá,São Luís
"R$ 11,014.54",jul_2023,5,pessoal,Rio de Janeiro,Rio Branco
"R$ 30,557.16",jun_2023,22,empresarial,Fortaleza,Palmas
"R$ 6,063.14",jun_2023,22,empresarial,Aracaju,Rio Branco
"R$ 9,429.40",abr_2023,14,pessoal,Belém,Macapá
"R$ 93,929.81",jun_2023,23,empresarial,Campo Grande,Aracaju
"R$ 16,266.67",jan_2023,3,pessoal,Belo Horizonte,Aracaju
"R$ 19,143.82",mar_2023,9,pessoal,São Luís,Palmas
"R$ 14,702.27",jan_2023,2,pessoal,Vitória,Porto Alegre
"R$ 98,410.94",dez_2023,15,empresarial,Palmas,Brasília
"R$ 59,300.43",fev_2023,10,empresarial,Salvador,Macapá
"R$ 19,960.80",mar_2023,14,pessoal,Belo Horizonte,Boa Vista
"R$ 1,348.21",set_2023,5,pessoal,Maceió,São Luís
"R$ 8,897.81",ago_2023,10,empresarial,Palmas,Porto Alegre
"R$ 81,820.03",ago_2023,3,empresarial,Campo Grande,Macapá
"R$ 24,204.56",out_2023,3,empresarial,Manaus,Fortaleza
"R$ 14,058.02",jun_2023,4,pessoal,Cuiabá,Porto Alegre
"R$ 55,365.86",jul_2023,5,empresarial,Macapá,Porto Velho
"R$ 2,454.64",set_2023,7,empresarial,Natal,São Luís
"R$ 8,572.37",out_2023,1,pessoal,Belém,Boa Vista
"R$ 45,307.60",abr_2023,10,empresarial,João Pessoa,Vitória
"R$ 87,075.99",ago_2023,0,empresarial,Rio de Janeiro,Belo Horizonte
"R$ 46,032.14",ago_2023,6,empresarial,Teresina,Aracaju
"R$ 51,107.03",abr_2023,5,empresarial,São Luís,Salvador
"R$ 19,351.66",mai_2023,17,pessoal,Salvador,São Luís
R$ 751.38,ago_2023,5,pessoal,Florianópolis,São Luís
"R$ 13,173.54",set_2023,18,pessoal,São Luís,Porto Alegre
"R$ 10,407.92",nov_2023,4,pessoal,Belém,Teresina
"R$ 26,573.01",ago_2023,5,empresarial,Teresina,Recife
"R$ 10,333.48",out_2023,8,pessoal,Manaus,Curitiba
"R$ 9,736.52",mai_2023,16,pessoal,São Luís,Porto Alegre
"R$ 19,787.01",dez_2023,8,pessoal,São Paulo,Manaus
"R$ 39,548.38",fev_2023,10,empresarial,Salvador,Porto Velho
"R$ 90,171.98",jul_2023,19,empresarial,São Paulo,Palmas
"R$ 11,724.03",mai_2023,21,empresarial,Fortaleza,Curitiba
"R$ 18,225.23",fev_2023,4,pessoal,Brasília,São Luís
"R$ 2,596.96",set_2023,7,pessoal,Rio Branco,Aracaju
"R$ 6,501.37",out_2023,0,pessoal,Salvador,Rio de Janeiro
"R$ 6,903.31",ago_2023,8,pessoal,Curitiba,Campo Grande
R$ 185.24,ago_2023,21,pessoal,Recife,Porto Velho
"R$ 87,042.67",abr_2023,21,empresarial,Porto Velho,Fortaleza
"R$ 48,144.46",mai_2023,20,empresarial,Rio Branco,São Luís
"R$ 13,650.33",abr_2023,14,pessoal,Porto Alegre,Manaus
"R$ 89,419.70",jan_2023,17,empresarial,Cuiabá,Porto Alegre
"R$ 77,477.81",set_2023,19,empresarial,Macapá,Fortaleza
"R$ 11,531.79",jul_2023,4,empresarial,Florianópolis,Aracaju
"R$ 15,570.30",nov_2023,3,pessoal,Boa Vista,Curitiba
"R$ 33,007.96",nov_2023,6,empresarial,Florianópolis,São Paulo
"R$ 68,349.90",mar_2023,3,empresarial,Palmas,Salvador
"R$ 92,103.19",jul_2023,1,empresarial,João Pessoa,Rio Branco
"R$ 69,701.94",nov_2023,14,empresarial,Fortaleza,Belém
"R$ 13,340.35",dez_2023,4,pessoal,Rio de Janeiro,Manaus
"R$ 11,189.90",mar_2023,10,pessoal,Rio de Janeiro,São Luís
"R$ 72,725.14",mai_2023,11,empresarial,Vitória,Aracaju
"R$ 25,464.92",abr_2023,13,empresarial,Aracaju,Manaus
"R$ 1,852.81",jun_2023,12,pessoal,Cuiabá,Belo Horizonte
"R$ 78,327.93",abr_2023,17,empresarial,Maceió,Belém
"R$ 4,274.29",dez_2023,15,empresarial,Belo Horizonte,São Luís
"R$ 91,521.78",set_2023,16,empresarial,Porto Velho,São Luís
"R$ 1,381.30",mai_2023,16,pessoal,Aracaju,São Luís
"R$ 18,084.65",jun_2023,9,pessoal,Manaus,São Luís
"R$ 14,319.62",ago_2023,1,pessoal,Palmas,Porto Velho
"R$ 94,554.10",fev_2023,23,empresarial,Salvador,Belo Horizonte
"R$ 62,638.34",out_2023,5,empresarial,Cuiabá,São Luís
"R$ 48,911.49",jul_2023,10,empresarial,São Luís,Natal
"R$ 97,065.23",fev_2023,20,empresarial,Rio de Janeiro,Porto Velho
R$ 390.44,jan_2023,15,pessoal,Porto Alegre,Campo Grande
"R$ 15,525.77",fev_2023,8,pessoal,São Paulo,Cuiabá
"R$ 5,264.10",out_2023,6,pessoal,São Luís,Teresina
"R$ 59,290.74",out_2023,11,empresarial,Campo Grande,Goiânia
"R$ 35,237.11",dez_2023,3,empresarial,Manaus,Belo Horizonte
"R$ 10,937.45",mai_2023,18,pessoal,Florianópolis,Palmas
"R$ 2,342.45",dez_2023,10,pessoal,João Pessoa,Palmas
"R$ 87,779.53",mar_2023,7,empresarial,Brasília,Belo Horizonte
"R$ 24,719.76",mar_2023,13,empresarial,Macapá,São Paulo
"R$ 4,464.77",jun_2023,3,pessoal,Fortaleza,Cuiabá
"R$ 6,028.63",jul_2023,23,pessoal,Manaus,Rio de Janeiro
"R$ 5,314.87",dez_2023,18,pessoal,Belo Horizonte,Palmas
"R$ 97,419.38",fev_2023,14,empresarial,Manaus,Aracaju
"R$ 98,327.01",dez_2023,5,empresarial,Curitiba,Rio Branco
"R$ 58,386.13",out_2023,16,empresarial,Vitória,Maceió
"R$ 17,447.43",jan_2023,4,pessoal,Natal,Porto Alegre
"R$ 75,532.22",nov_2023,18,empresarial,São Luís,Teresina
"R$ 17,811.40",jul_2023,2,pessoal,Aracaju,Manaus
"R$ 12,246.08",jan_2023,18,pessoal,Campo Grande,Vitória
"R$ 18,396.10",mai_2023,4,pessoal,Aracaju,Goiânia
"R$ 76,582.59",ago_2023,13,empresarial,Vitória,Recife
"R$ 61,712.01",set_2023,6,empresarial,Fortaleza,Goiânia
"R$ 17,375.44",jun_2023,16,empresarial,Natal,Florianópolis
"R$ 15,405.13",abr_2023,10,pessoal,Rio de Janeiro,São Paulo
"R$ 7,125.64",dez_2023,15,pessoal,Curitiba,Palmas
"R$ 73,384.63",jul_2023,18,empresarial,Vitória,Palmas
"R$ 14,030.16",jul_2023,9,pessoal,Recife,Florianópolis
"R$ 9,689.56",mai_2023,9,empresarial,Porto Alegre,Goiânia
"R$ 65,493.85",out_2023,10,empresarial,Porto Velho,Rio Branco
"R$ 14,418.73",jun_2023,14,empresarial,Belo Horizonte,Goiânia
"R$ 21,479.37",jul_2023,16,empresarial,Curitiba,Brasília
R$ 323.87,dez_2023,4,pessoal,Recife,Fortaleza
"R$ 28,375.26",mai_2023,18,empresarial,Salvador,Brasília
"R$ 15,487.27",jan_2023,16,pessoal,Palmas,Rio Branco
"R$ 17,255.13",ago_2023,1,pessoal,São Paulo,Palmas
"R$ 5,876.29",dez_2023,20,pessoal,Fortaleza,Rio de Janeiro
"R$ 3,810.98",nov_2023,5,pessoal,Rio de Janeiro,Aracaju
"R$ 9,984.30",ago_2023,4,pessoal,Goiânia,Campo Grande
"R$ 17,990.47",abr_2023,14,pessoal,Belém,Campo Grande
"R$ 83,016.83",fev_2023,11,empresarial,Cuiabá,Belém
"R$ 89,628.33",nov_2023,4,empresarial,Cuiabá,Curitiba
"R$ 9,644.17",ago_2023,22,pessoal,Cuiabá,Porto Velho
"R$ 7,337.37",out_2023,11,pessoal,Porto Velho,Florianópolis
"R$ 74,750.43",jul_2023,7,empresarial,Aracaju,Curitiba
"R$ 40,252.05",jan_2023,8,empresarial,Maceió,Porto Alegre
"R$ 61,613.63",dez_2023,8,empresarial,Curitiba,Manaus
R$ 584.29,mai_2023,20,pessoal,Salvador,Curitiba
"R$ 11,679.75",jul_2023,13,pessoal,Palmas,Recife
"R$ 34,999.38",abr_2023,0,empresarial,Curitiba,Brasília
"R$ 5,373.52",jan_2023,22,pessoal,São Luís,Cuiabá
"R$ 50,991.88",jun_2023,2,empresarial,Porto Velho,Campo Grande
"R$ 7,489.76",jan_2023,6,pessoal,Goiânia,Teresina
"R$ 35,769.19",dez_2023,4,empresarial,Natal,Florianópolis
"R$ 32,987.16",out_2023,8,empresarial,Porto Alegre,Aracaju
"R$ 21,790.60",out_2023,13,empresarial,Boa Vista,Manaus
"R$ 50,435.94",nov_2023,11,empresarial,Porto Velho,Aracaju
R$ 887.73,ago_2023,21,pessoal,Florianópolis,São Paulo
"R$ 31,753.82",abr_2023,8,empresarial,Curitiba,Vitória
"R$ 2,054.97",ago_2023,22,pessoal,Manaus,Fortaleza
"R$ 32,547.52",fev_2023,13,empresarial,Rio de Janeiro,Manaus
"R$ 6,802.53",jun_2023,14,pessoal,Porto Velho,João Pessoa
"R$ 4,415.57",mar_2023,6,pessoal,São Paulo,Belo Horizonte
"R$ 1,666.46",jun_2023,4,empresarial,João Pessoa,Campo Grande
